ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match.1	Narrow Match	Related Match
pbpko:PBPKO_00171	kidney plasma partition coefficient		kidney plasma pc		kidney plasma pc	A partition coefficient representing the ratio of compound concentration in kidney to plasma.	A partition coefficient representing the ratio of compound concentration in kidney to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00172	muscle plasma partition coefficient		muscle plasma pc		muscle plasma pc	A partition coefficient representing the ratio of compound concentration in muscle to plasma.	A partition coefficient representing the ratio of compound concentration in muscle to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00173	heart plasma partition coefficient		heart plasma pc		heart plasma pc	A partition coefficient representing the ratio of compound concentration in heart to plasma.	A partition coefficient representing the ratio of compound concentration in heart to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00174	fat plasma partition coefficient		fat plasma pc|k_fat_plasma		fat plasma pc	A partition coefficient representing the ratio of compound concentration in fat (adipose tissue) to plasma.	A partition coefficient representing the ratio of compound concentration in fat (adipose tissue) to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00175	gonad plasma partition coefficient		gonads plasma pc		gonads plasma pc	A partition coefficient representing the ratio of compound concentration in gonads to plasma.	A partition coefficient representing the ratio of compound concentration in gonads to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00176	skin plasma partition coefficient		skin plasma pc		skin plasma pc	A partition coefficient representing the ratio of compound concentration in skin to plasma.	A partition coefficient representing the ratio of compound concentration in skin to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00177	bone plasma partition coefficient		bone plasma pc|k_bone_plasma		bone plasma pc	A partition coefficient representing the ratio of compound concentration in bone to plasma.	A partition coefficient representing the ratio of compound concentration in bone to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00178	spleen plasma partition coefficient		spleen plasma pc		spleen plasma pc	A partition coefficient representing the ratio of compound concentration in spleen to plasma.	A partition coefficient representing the ratio of compound concentration in spleen to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00179	lung plasma partition coefficient		lung plasma pc		lung plasma pc	A partition coefficient representing the ratio of compound concentration in lung to plasma.	A partition coefficient representing the ratio of compound concentration in lung to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00180	rich perfused plasma partition coefficient		rich perfused plasma pc		rich perfused plasma pc	A partition coefficient representing the ratio of compound concentration in the lumped richly perfused compartment to plasma.	A partition coefficient representing the ratio of compound concentration in the lumped richly perfused compartment to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00181	poor perfused plasma partition coefficient		poor perfused plasma pc		poor perfused plasma pc	A partition coefficient representing the ratio of compound concentration in the lumped poorly perfused compartment to plasma.	A partition coefficient representing the ratio of compound concentration in the lumped poorly perfused compartment to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00182	skin stratum corneum partition coefficient		skin sc pc		skin sc pc	A partition coefficient representing the ratio of compound concentration in the stratum corneum to the rest of the skin.	A partition coefficient representing the ratio of compound concentration in the stratum corneum to the rest of the skin.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00183	air plasma partition coefficient		air plasma pc		air plasma pc	A partition coefficient representing the ratio of compound concentration in air to plasma.	A partition coefficient representing the ratio of compound concentration in air to plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'partition coefficient'				
pbpko:PBPKO_00184	skin diffusion coefficient		kp sc		kp sc	A diffusion coefficient representing the diffusion of a compound across the skin.	A diffusion coefficient representing the diffusion of a compound across the skin.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'diffusion coefficient'				
pbpko:PBPKO_00185	human serum albumin	http://purl.bioontology.org/ontology/LNC/LP62267-7	HSA		HSA	A material entity representing distribution-related protein (most abundant in human plasma) that binds various compounds.	A material entity representing distribution-related protein (most abundant in human plasma) that binds various compounds.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/BFO_0000040		http://purl.bioontology.org/ontology/LNC/LP62267-7		
pbpko:PBPKO_00187	blood:plasma ratio		bp		bp	A biochemical parameter representing the ratio of compound concentration in whole blood to that in plasma.	A biochemical parameter representing the ratio of compound concentration in whole blood to that in plasma.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00189	catalytic rate constant		kcat		kcat	A biochemical parameter quantifying enzymatic reaction velocity (kcat), representing the maximum number of substrate molecules converted per active site per unit time.	A biochemical parameter quantifying enzymatic reaction velocity (kcat), representing the maximum number of substrate molecules converted per active site per unit time.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00191	phase I metabolism					A metabolism process involving the conversion of exogenous substances to more polar metabolites, often via oxidation, reduction, or hydrolysis (e.g., by CYPs).	A metabolism process involving the conversion of exogenous substances to more polar metabolites, often via oxidation, reduction, or hydrolysis (e.g., by CYPs).			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0008152				
pbpko:PBPKO_00200	phase II					A metabolism process involving the conjugation of phase I products (or parent compounds) to hydrophilic moieties to facilitate excretion.	A metabolism process involving the conjugation of phase I products (or parent compounds) to hydrophilic moieties to facilitate excretion.			0000-0001-8345-1349			Class	http://purl.obolibrary.org/obo/GO_0008152				
pbpko:PBPKO_00209	phase III					A metabolism/transport process involving the further processing and excretion of conjugated metabolites (often involving efflux transporters).	A metabolism/transport process involving the further processing and excretion of conjugated metabolites (often involving efflux transporters).			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0008152				
pbpko:PBPKO_00210	first pass metabolism					A metabolism process occurring at a specific location (e.g., liver, gut wall) after administration but before reaching systemic circulation, reducing the concentration of active compound.	A metabolism process occurring at a specific location (e.g., liver, gut wall) after administration but before reaching systemic circulation, reducing the concentration of active compound.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0008152				
pbpko:PBPKO_00211	maximum rate in intestine		vmax intestine		vmax intestine	A maximum rate (Vmax) of an enzyme catalysed reaction for a compound in the intestine when the enzyme is saturated with substrate.	A maximum rate (Vmax) of an enzyme catalysed reaction for a compound in the intestine when the enzyme is saturated with substrate.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'maximum rate'				
pbpko:PBPKO_00212	Michaelis constant  intestine		km intestine		km intestine	Michaelis constant representing the substrate concentration at which the reaction rate in the intestine is half of Vmax (Km).	Michaelis constant representing the substrate concentration at which the reaction rate in the intestine is half of Vmax (Km).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00213	maximum rate in liver		vmax liver		vmax liver	A maximum rate (Vmax) of an enzyme catalysed reaction for a compound in the liver when the enzyme is saturated with substrate.	A maximum rate (Vmax) of an enzyme catalysed reaction for a compound in the liver when the enzyme is saturated with substrate.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'maximum rate'				
pbpko:PBPKO_00214	Michaelis constant  liver		km liver		km liver	Michaelis constant representing the substrate concentration at which the reaction rate in the liver is half of Vmax (Km).	Michaelis constant representing the substrate concentration at which the reaction rate in the liver is half of Vmax (Km).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00215	gut metabolism					A metabolism process specifically occurring within the gut.	A metabolism process specifically occurring within the gut.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0008152				
pbpko:PBPKO_00216	dissociation constant		kd		kd	A biochemical parameter (Kd) measuring the affinity of a compound for its binding partner (e.g., receptor, protein).	A biochemical parameter (Kd) measuring the affinity of a compound for its binding partner (e.g., receptor, protein).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00217	transporter					A material entity representing protein responsible for the import or export of compounds across cell membranes.	A material entity representing protein responsible for the import or export of compounds across cell membranes.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/BFO_0000040	http://purl.obolibrary.org/obo/TXPO_0003638			
pbpko:PBPKO_00218	oatp					A transporter family (Organic Anion Transporting Polypeptides) involved in transporting organic anions.	A transporter family (Organic Anion Transporting Polypeptides) involved in transporting organic anions.			0000-0001-8345-1349	0000-0002-9795-5967		Class	transporter	http://purl.obolibrary.org/obo/TXPO_0000272			
pbpko:PBPKO_00219	abcc3					A transporter (ATP-binding cassette subfamily C member 3) involved in bile metabolism and transport.	A transporter (ATP-binding cassette subfamily C member 3) involved in bile metabolism and transport.			0000-0001-8345-1349	0000-0002-9795-5967		Class	transporter	http://purl.obolibrary.org/obo/OGG_3000008714			
pbpko:PBPKO_00220	abcc2					A transporter (ATP-binding cassette subfamily C member 2) involved in transporting various molecules across cell membranes.	A transporter (ATP-binding cassette subfamily C member 2) involved in transporting various molecules across cell membranes.			0000-0001-8345-1349	0000-0002-9795-5967		Class	transporter	http://purl.obolibrary.org/obo/OGG_3000001244			
pbpko:PBPKO_00221	degradation rate constant		kdeg		kdeg	A biochemical parameter (kdeg) representing the rate constant for the degradation of a metabolizing enzyme or transporter.	A biochemical parameter (kdeg) representing the rate constant for the degradation of a metabolizing enzyme or transporter.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00222	inhibition constant		ki		ki	A biochemical parameter (Ki) representing the inhibition constant for a specific enzyme or transporter interaction.	A biochemical parameter (Ki) representing the inhibition constant for a specific enzyme or transporter interaction.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00223	renal excretion					An excretion process involving the elimination of compounds and metabolites primarily through urine via the kidneys.	An excretion process involving the elimination of compounds and metabolites primarily through urine via the kidneys.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0007588				
pbpko:PBPKO_00224	hepatic excretion					An excretion process involving the elimination of compounds and metabolites via the liver (often into bile).	An excretion process involving the elimination of compounds and metabolites via the liver (often into bile).			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0007588				
pbpko:PBPKO_00225	fecal excretion					An excretion process involving the elimination of compounds and metabolites through feces.	An excretion process involving the elimination of compounds and metabolites through feces.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0007588				
pbpko:PBPKO_00226	exhalation					An excretion process involving the elimination of volatile compounds and metabolites through respiration.	An excretion process involving the elimination of volatile compounds and metabolites through respiration.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0007588	http://purl.bioontology.org/ontology/MESH/D045853			
pbpko:PBPKO_00227	sweat excretion					An excretion process involving the elimination of compounds and metabolites through sweat.	An excretion process involving the elimination of compounds and metabolites through sweat.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0007588				
pbpko:PBPKO_00228	hair excretion					An excretion process involving the elimination and deposition of compounds and metabolites into hair.	An excretion process involving the elimination and deposition of compounds and metabolites into hair.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/GO_0007588				
pbpko:PBPKO_00229	clearance rate		cl		cl	A biochemical parameter representing the volume of biological fluid cleared of a compound per unit time.	A biochemical parameter representing the volume of biological fluid cleared of a compound per unit time.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00230	fecal clearance rate					A clearance rate specifically quantifying elimination via feces.	A clearance rate specifically quantifying elimination via feces.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'clearance rate'				
pbpko:PBPKO_00231	sweat clearance rate					A clearance rate specifically quantifying elimination via sweat.	A clearance rate specifically quantifying elimination via sweat.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'clearance rate'				
pbpko:PBPKO_00232	urinary clearance rate					A clearance rate specifically quantifying elimination via urine.	A clearance rate specifically quantifying elimination via urine.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'clearance rate'				
pbpko:PBPKO_00233	biliary clearance rate					A clearance rate specifically quantifying elimination via bile.	A clearance rate specifically quantifying elimination via bile.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'clearance rate'				
pbpko:PBPKO_00234	hepatic clearance rate					A clearance rate specifically quantifying elimination via the liver (metabolism and/or biliary excretion).	A clearance rate specifically quantifying elimination via the liver (metabolism and/or biliary excretion).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'clearance rate'				
pbpko:PBPKO_00235	intrinsic clearance rate		clint		clint	A clearance rate representing the inherent ability of an organ or tissue to eliminate a compound, independent of blood flow or binding.	A clearance rate representing the inherent ability of an organ or tissue to eliminate a compound, independent of blood flow or binding.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'clearance rate'				
pbpko:PBPKO_00236	fecal elimination rate constant					A biochemical parameter representing the rate constant for elimination via fecal excretion.	A biochemical parameter representing the rate constant for elimination via fecal excretion.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00237	renal elimination rate constant					A biochemical parameter representing the rate constant for elimination via renal (urinary) excretion.	A biochemical parameter representing the rate constant for elimination via renal (urinary) excretion.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biochemical parameter'				
pbpko:PBPKO_00238	biliary elimination					An elimination process involving the irreversible transfer of compound or metabolites from plasma to bile via hepatocytes.	An elimination process involving the irreversible transfer of compound or metabolites from plasma to bile via hepatocytes.			0000-0001-8345-1349	0000-0002-9795-5967		Class	elimination				
pbpko:PBPKO_00239	route of exposure					A parameter designating the body part or method through which exposure is introduced.	A parameter designating the body part or method through which exposure is introduced.			0000-0001-8345-1349	0000-0002-9795-5967		Class	parameter				
pbpko:PBPKO_00240	oral exposure					A route of exposure via the mouth.	A route of exposure via the mouth.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00241	dermal exposure					A route of exposure via the skin.	A route of exposure via the skin.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00242	inhalation exposure					A route of exposure via inhalation into the lungs.	A route of exposure via inhalation into the lungs.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00243	intravenous bolus exposure		IVB		IVB	A route of exposure involving rapid injection directly into a vein.	A route of exposure involving rapid injection directly into a vein.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00244	intravenous infusion exposure		IVI		IVI	A route of exposure involving continuous administration directly into a vein over time.	A route of exposure involving continuous administration directly into a vein over time.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00245	intramuscular exposure					A route of exposure involving injection into a muscle.	A route of exposure involving injection into a muscle.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00246	intraarterial exposure					A route of exposure involving administration directly into an artery.	A route of exposure involving administration directly into an artery.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00247	intrathecal exposure					A route of exposure involving administration into the spinal canal.	A route of exposure involving administration into the spinal canal.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00248	subcutaneous exposure					A route of exposure involving administration under the skin.	A route of exposure involving administration under the skin.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00249	nasal exposure					A route of exposure via the nasal passages.	A route of exposure via the nasal passages.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00250	transdermal exposure					A route of exposure involving absorption through the skin, typically from a patch.	A route of exposure involving absorption through the skin, typically from a patch.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00251	ocular exposure					A route of exposure via the eye.	A route of exposure via the eye.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'route of exposure'				
pbpko:PBPKO_00252	output parameter					A parameter representing a result or prediction generated by the PBPK model.	A parameter representing a result or prediction generated by the PBPK model.			0000-0001-8345-1349	0000-0002-9795-5967		Class	parameter				
pbpko:PBPKO_00253	peak concentration		Cmax		Cmax	An output parameter representing the highest concentration (Cmax) of a compound achieved after exposure.	An output parameter representing the highest concentration (Cmax) of a compound achieved after exposure.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00254	maximum steady state concentration		cmaxss		cmaxss	An output parameter representing the maximum concentration (Cmax,ss) achieved at steady state during repeated dosing.	An output parameter representing the maximum concentration (Cmax,ss) achieved at steady state during repeated dosing.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00255	maximum time		tmax		tmax	An output parameter representing the time (Tmax) required to reach the peak concentration.	An output parameter representing the time (Tmax) required to reach the peak concentration.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00256	area under curve		AUC		AUC	An output parameter representing the integral of the concentration-time curve (AUC), indicating total exposure.	An output parameter representing the integral of the concentration-time curve (AUC), indicating total exposure.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00257	area under curve 0 to t		auc 0 to t		auc 0 to t	An area under curve parameter calculated from time zero to a specific time point t (AUC0-t).	An area under curve parameter calculated from time zero to a specific time point t (AUC0-t).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'area under curve'				
pbpko:PBPKO_00258	area under curve last		auclast		auclast	An area under curve parameter calculated from time zero to the time of the last measurable concentration (AUClast).	An area under curve parameter calculated from time zero to the time of the last measurable concentration (AUClast).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'area under curve'				
pbpko:PBPKO_00259	area under curve 0 to infinity		auc 0 infinity		auc 0 infinity	An area under curve parameter extrapolated from time zero to infinity (AUC0-inf), representing total exposure after a single dose.	An area under curve parameter extrapolated from time zero to infinity (AUC0-inf), representing total exposure after a single dose.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'area under curve'				
pbpko:PBPKO_00260	area under moment curve		aumc		aumc	An output parameter calculated as the integral of the product of time and concentration versus time (AUMC).	An output parameter calculated as the integral of the product of time and concentration versus time (AUMC).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00261	mean residence time		MRT		MRT	An output parameter representing the average time a compound resides in the body (MRT).	An output parameter representing the average time a compound resides in the body (MRT).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00262	half-life		t1/2		t1/2	An output parameter representing the time required for the compound concentration to decrease by half (t1/2).	An output parameter representing the time required for the compound concentration to decrease by half (t1/2).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00263	bioavailability		f		f	An output parameter representing the rate and extent to which an active compound is absorbed and becomes available at the site of action or systemic circulation.	An output parameter representing the rate and extent to which an active compound is absorbed and becomes available at the site of action or systemic circulation.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00264	relative bioavailability		frel		frel	A bioavailability parameter comparing the rate and extent of absorption of a test compound to a reference compound.	A bioavailability parameter comparing the rate and extent of absorption of a test compound to a reference compound.			0000-0001-8345-1349	0000-0002-9795-5967		Class	bioavailability				
pbpko:PBPKO_00265	mean absorption time		MAT		MAT	An output parameter representing the average time for a compound to be absorbed into systemic circulation (MAT).	An output parameter representing the average time for a compound to be absorbed into systemic circulation (MAT).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00266	mean dissolution time		MDT		MDT	An output parameter representing the average time for a compound to dissolve in the body (MDT).	An output parameter representing the average time for a compound to dissolve in the body (MDT).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00267	bioequivalence		be		be	An output parameter indicating comparable bioavailability between test and reference formulations under similar conditions.	An output parameter indicating comparable bioavailability between test and reference formulations under similar conditions.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00268	absolute bioavailability		fabs		fabs	A bioavailability parameter comparing the amount reaching systemic circulation after non-IV administration to the amount available after IV administration.	A bioavailability parameter comparing the amount reaching systemic circulation after non-IV administration to the amount available after IV administration.			0000-0001-8345-1349	0000-0002-9795-5967		Class	bioavailability				
pbpko:PBPKO_00269	elimination phase					An elimination process phase describing the period where removal of the compound from the body predominates.	An elimination process phase describing the period where removal of the compound from the body predominates.			0000-0001-8345-1349	0000-0002-9795-5967		Class	elimination				
pbpko:PBPKO_00270	absorption phase					An absorption process phase describing the period where the compound moves from the administration site into systemic circulation.	An absorption process phase describing the period where the compound moves from the administration site into systemic circulation.			0000-0001-8345-1349	0000-0002-9795-5967		Class	absorption				
pbpko:PBPKO_00272	amount in urine		aurine		aurine	The amount of compound in the urine compartment.	The amount of compound in the urine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00273	amount in feces		afeces		afeces	The amount of compound in the feces compartment.	The amount of compound in the feces compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'amount of compound in compartment'				
pbpko:PBPKO_00274	cumulative amount in urine					An output parameter representing the total amount of compound excreted in urine over a specific time period.	An output parameter representing the total amount of compound excreted in urine over a specific time period.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00275	cumulative amount in feces					An output parameter representing the total amount of compound excreted in feces over a specific time period.	An output parameter representing the total amount of compound excreted in feces over a specific time period.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00277	steady state area under curve		aucss		aucss	An area under curve parameter calculated over a dosing interval at steady state (AUCss).	An area under curve parameter calculated over a dosing interval at steady state (AUCss).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'area under curve'				
pbpko:PBPKO_00279	min organ concentration					An output parameter representing the minimum concentration of a compound in a specific organ after exposure.	An output parameter representing the minimum concentration of a compound in a specific organ after exposure.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00280	max organ concentration					An output parameter representing the maximum concentration of a compound in a specific organ after exposure.	An output parameter representing the maximum concentration of a compound in a specific organ after exposure.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00281	median organ concentration					An output parameter representing the median concentration of a compound in a specific organ after exposure.	An output parameter representing the median concentration of a compound in a specific organ after exposure.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00282	percentile 2.5 cplasma					A plasma concentration parameter representing the 2.5th percentile of the plasma concentration distribution in a population simulation.	A plasma concentration parameter representing the 2.5th percentile of the plasma concentration distribution in a population simulation.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'concentration in plasma'				
pbpko:PBPKO_00283	percentile 97.5 cplasma					A plasma concentration parameter representing the 97.5th percentile of the plasma concentration distribution in a population simulation.	A plasma concentration parameter representing the 97.5th percentile of the plasma concentration distribution in a population simulation.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'concentration in plasma'				
pbpko:PBPKO_00284	tolerable daily intake		tdi		tdi	An output parameter (or exposure limit) estimating the amount of a substance that can be ingested daily over a lifetime without appreciable health risk (TDI).	An output parameter (or exposure limit) estimating the amount of a substance that can be ingested daily over a lifetime without appreciable health risk (TDI).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00285	reconstructed exposure					An output parameter estimating the amount of compound exposure based on internal body measurements.	An output parameter estimating the amount of compound exposure based on internal body measurements.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00286	estimated daily intake		edi		edi	An output parameter estimating the amount of a compound consumed daily (EDI).	An output parameter estimating the amount of a compound consumed daily (EDI).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00287	biomonitoring equivalent		be		be	An output parameter representing the concentration of a chemical (or metabolite) in a biological medium consistent with exposure guidance values (BE).	An output parameter representing the concentration of a chemical (or metabolite) in a biological medium consistent with exposure guidance values (BE).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00289	reference dose		RfD		RfD	An output parameter (or exposure limit) estimating the daily oral or dermal exposure likely to be without appreciable risk over a lifetime (RfD).	An output parameter (or exposure limit) estimating the daily oral or dermal exposure likely to be without appreciable risk over a lifetime (RfD).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00290	acceptable daily intake		adi		adi	An output parameter (or exposure limit) estimating the amount of a substance in food/water that can be consumed daily without appreciable health risk (ADI).	An output parameter (or exposure limit) estimating the amount of a substance in food/water that can be consumed daily without appreciable health risk (ADI).			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00296	reference human data set					A data set containing the physiological parameters representing a standard human, often defined by specific characteristics like 70 kg body weight.	A data set containing the physiological parameters representing a standard human, often defined by specific characteristics like 70 kg body weight.			0000-0001-8345-1349	0000-0002-9795-5967		Class	http://purl.obolibrary.org/obo/IAO_0000100				
pbpko:PBPKO_00297	biological matrix concentration					An output parameter representing the total concentration of a compound in a specified biological matrix.	An output parameter representing the total concentration of a compound in a specified biological matrix.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'output parameter'				
pbpko:PBPKO_00298	concentration in hair		chair		chair	The total concentration of compound in the hair compartment.	The total concentration of compound in the hair compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'concentration of compound in compartment'				
pbpko:PBPKO_00299	concentration in nail		cnail		cnail	A biological matrix concentration specifically representing the total concentration of compound in the nail compartment.	A biological matrix concentration specifically representing the total concentration of compound in the nail compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biological matrix concentration'				
pbpko:PBPKO_00300	concentration in teeth		cteeth		cteeth	A biological matrix concentration specifically representing the total concentration of compound in the teeth compartment.	A biological matrix concentration specifically representing the total concentration of compound in the teeth compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biological matrix concentration'				
pbpko:PBPKO_00301	concentration in blood		cblood		cblood	The total concentration of compound in the blood compartment.	The total concentration of compound in the blood compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'concentration of compound in compartment'				
pbpko:PBPKO_00302	concentration in urine		curine		curine	A biological matrix concentration specifically representing the total concentration of compound in the urine compartment.	A biological matrix concentration specifically representing the total concentration of compound in the urine compartment.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'biological matrix concentration'				
pbpko:PBPKO_00303	permeability limited pbpk					A physiologically based pharmacokinetic model that considers the permeability across membranes as a limiting factor for compound distribution.	A physiologically based pharmacokinetic model that considers the permeability across membranes as a limiting factor for compound distribution.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'physiologically based pharmacokinetic model'				
pbpko:PBPKO_00304	maximum rate of basolateral transporter in vitro		vmax baso in vitro		vmax baso in vitro	Maximum rate (Vmax) of transport via a basolateral transporter, measured in vitro.	Maximum rate (Vmax) of transport via a basolateral transporter, measured in vitro.			0000-0001-8345-1349	0000-0002-9795-5967		Class	'maximum rate'				
